Unnamed: 0.1;Unnamed: 0;article;vehicleClass;amount;points;Case ID;Activity;Resource;lastSent;notificationType;dismissal;expense;time:timestamp;label;relative_timestamp_from_start;relative_timestamp_from_previous_activity;concept:name;case:concept:name;case:label
0;;;A;63.4790267944336;;GEN0;Create Fine;;;;;;2010-06-04 21:48:30;deviant;495228.5;0.0;Create Fine;GEN0;deviant
1;;;A;63.4790267944336;;GEN0;Send Fine;;;;;;2010-08-30 23:36:16;deviant;495228.5;125387.76666666666;Send Fine;GEN0;deviant
2;;;A;63.4790267944336;;GEN0;Insert Fine Notification;;;;;;2010-09-12 05:51:20;deviant;495228.5;17655.066666666666;Insert Fine Notification;GEN0;deviant
3;;;A;63.4790267944336;;GEN0;Insert Date Appeal to Prefecture;;;;;;2010-09-30 06:29:56;deviant;495228.5;25958.6;Insert Date Appeal to Prefecture;GEN0;deviant
4;;;A;63.4790267944336;;GEN0;Send Appeal to Prefecture;;;;;;2010-10-21 03:13:33;deviant;495228.5;30043.616666666665;Send Appeal to Prefecture;GEN0;deviant
5;;;A;63.4790267944336;;GEN0;Add penalty;;;;;;2010-11-14 08:13:18;deviant;495228.5;34859.75;Add penalty;GEN0;deviant
6;;;A;63.4790267944336;;GEN0;Receive Result Appeal from Prefecture;;;;;;2011-01-12 03:16:47;deviant;495228.5;84663.48333333334;Receive Result Appeal from Prefecture;GEN0;deviant
7;;;A;63.4790267944336;;GEN0;Notify Result Appeal to Offender;;;;;;2011-03-01 07:48:41;deviant;495228.5;69391.9;Notify Result Appeal to Offender;GEN0;deviant
8;;;A;71.70097351074219;;GEN1;Create Fine;;;;;;2011-01-23 03:06:38;deviant;829626.6333333333;0.0;Create Fine;GEN1;deviant
9;;;A;71.70097351074219;;GEN1;Send Fine;;;;;;2011-04-19 23:41:36;deviant;829626.6333333333;125074.96666666666;Send Fine;GEN1;deviant
10;;;A;71.70097351074219;;GEN1;Insert Fine Notification;;;;;;2011-05-02 00:03:09;deviant;829626.6333333333;17301.55;Insert Fine Notification;GEN1;deviant
11;;;A;71.70097351074219;;GEN1;Add penalty;;;;;;2011-06-28 09:32:26;deviant;829626.6333333333;82649.28333333334;Add penalty;GEN1;deviant
12;;;A;71.70097351074219;;GEN1;Insert Date Appeal to Prefecture;;;;;;2011-08-01 08:53:30;deviant;829626.6333333333;48921.066666666666;Insert Date Appeal to Prefecture;GEN1;deviant
13;;;A;71.70097351074219;;GEN1;Send Appeal to Prefecture;;;;;;2011-09-05 03:12:54;deviant;829626.6333333333;50059.4;Send Appeal to Prefecture;GEN1;deviant
14;;;A;90.81216430664062;;GEN2;Create Fine;;;;;;2011-06-09 07:36:09;deviant;1027176.15;0.0;Create Fine;GEN2;deviant
15;;;A;90.81216430664062;;GEN2;Send Fine;;;;;;2011-09-13 22:12:14;deviant;1027176.15;139116.08333333334;Send Fine;GEN2;deviant
16;;;A;90.81216430664062;;GEN2;Insert Fine Notification;;;;;;2011-09-23 13:10:05;deviant;1027176.15;13857.85;Insert Fine Notification;GEN2;deviant
